FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,2012 ORDINANCE (AMOUNT $)
Local,100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,100,CONTRACTUAL SERVICES,$1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,300,COMMODITIES AND MATERIALS,$500
Local,100,CORPORATE FUND,15,CITY COUNCIL,2255,COMM ON ECONOMIC/CAPITAL/TECH,700,CONTINGENCIES,$1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,0,PERSONNEL SERVICES,$200609
Local,100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,100,CONTRACTUAL SERVICES,$3000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2260,COMMITTEE ON EDUCATION & CHILD,700,CONTINGENCIES,$2000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,0,PERSONNEL SERVICES,$305134
Local,100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,100,CONTRACTUAL SERVICES,$5300
Local,100,CORPORATE FUND,15,CITY COUNCIL,2275,COMM ON ZONING/LANDMARK/BUILD,300,COMMODITIES AND MATERIALS,$74700
Local,100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,0,PERSONNEL SERVICES,$192406
Local,100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,100,CONTRACTUAL SERVICES,$1550
Local,100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,300,COMMODITIES AND MATERIALS,$400
Local,100,CORPORATE FUND,15,CITY COUNCIL,2280,COMMITTEE ON HOUSING AND RE,700,CONTINGENCIES,$2150
Local,100,CORPORATE FUND,15,CITY COUNCIL,2286,COMMITTEE ON HUMAN RELATIONS,0,PERSONNEL SERVICES,$88098
Local,100,CORPORATE FUND,15,CITY COUNCIL,2286,COMMITTEE ON HUMAN RELATIONS,300,COMMODITIES AND MATERIALS,$1000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,0,PERSONNEL SERVICES,$479312
Local,100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,100,CONTRACTUAL SERVICES,$30000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2290,COMMITTEE ON WORKFORCE DEV,300,COMMODITIES AND MATERIALS,$5000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2295,CITY COUNCIL LEG REFERENCE BUR,0,PERSONNEL SERVICES,$356209
Local,100,CORPORATE FUND,15,CITY COUNCIL,2295,CITY COUNCIL LEG REFERENCE BUR,100,CONTRACTUAL SERVICES,$24000
Local,100,CORPORATE FUND,15,CITY COUNCIL,2295,CITY COUNCIL LEG REFERENCE BUR,300,COMMODITIES AND MATERIALS,$4000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,5,SALARIES AND WAGES - ON PAYROLL,$2327479
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,15,SCHEDULE SALARY ADJ,$6743
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,20,OVERTIME,$72000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,130,POSTAGE,$5000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,140,PROF & TECHNICAL SERVICES,$85300
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,150,PUBLICATN & REPRODT-OUT,$13485
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,152,ADVERTISING,$31450
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,159,LEASE PURCHASE AGREEMNT,$186854
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,162,REPAIR/MAINT EQUIPMENT,$10610
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,190,TELEPHONE-CENTREX,$32500
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,197,TELEPHONE-MAINTENANCE,$6000
Local,100,CORPORATE FUND,25,CITY CLERK,2005,CITY CLERK,350,STATIONERY AND OFFICE SUPPL,$74540
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,5,SALARIES AND WAGES - ON PAYROLL,$3013495
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,15,SCHEDULE SALARY ADJ,$9165
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,20,OVERTIME,$4700
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,130,POSTAGE,$10248
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,140,PROF & TECHNICAL SERVICES,$67068
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,149,SOFTWARE MAINT/LICENSING,$18800
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,150,PUBLICATN & REPRODT-OUT,$1250
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,157,RENTAL EQUIPMENT AND SERVICES,$33412
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,162,REPAIR/MAINT EQUIPMENT,$4051
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,166,DUES  SUBSC & MEM,$7000
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,169,TECHNICAL MEETING COSTS,$570
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,181,MOBILE COMM SERVICES,$710
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,186,PAGERS,$200
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,190,TELEPHONE-CENTREX,$169500
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,196,DATA CIRCUITS,$8000
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,197,TELEPHONE-MAINTENANCE,$41100
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,245,REIMBURSEMENT TRAVELERS,$1200
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,270,LOCAL TRANSPORTATION,$600
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,348,BOOKS AND RELATED MTL,$4300
Local,100,CORPORATE FUND,27,FINANCE,2011,CITY COMPTROLLER,350,STATIONERY AND OFFICE SUPPL,$37900
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,5,SALARIES AND WAGES - ON PAYROLL,$3502910
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,15,SCHEDULE SALARY ADJ,$14675
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,20,OVERTIME,$10000
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,130,POSTAGE,$16700
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,140,PROF & TECHNICAL SERVICES,$88800
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,142,ACCOUNTING AND AUDITING,$600000
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,150,PUBLICATN & REPRODT-OUT,$14561
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,157,RENTAL EQUIPMENT AND SERVICES,$13396
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,162,REPAIR/MAINT EQUIPMENT,$1050
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,166,DUES  SUBSC & MEM,$1800
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,169,TECHNICAL MEETING COSTS,$5982
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,189,TELEPHONE NON-CENTREX,$450
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,190,TELEPHONE-CENTREX,$16000
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,197,TELEPHONE-MAINTENANCE,$3400
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,245,REIMBURSEMENT TRAVELERS,$4000
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,270,LOCAL TRANSPORTATION,$825
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,348,BOOKS AND RELATED MTL,$600
Local,100,CORPORATE FUND,27,FINANCE,2012,ACCOUNTING FINANCIAL REPORTING,350,STATIONERY AND OFFICE SUPPL,$26840
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,5,SALARIES AND WAGES - ON PAYROLL,$5355534
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,15,SCHEDULE SALARY ADJ,$18096
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,130,POSTAGE,$129360
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,149,SOFTWARE MAINT/LICENSING,$28800
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,150,PUBLICATN & REPRODT-OUT,$50181
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,152,ADVERTISING,$6800
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,162,REPAIR/MAINT EQUIPMENT,$25200
Local,100,CORPORATE FUND,27,FINANCE,2015,FINANCIAL STRATEGY AND OPS,166,DUES  SUBSC & MEM,$1442
