FUND TYPE,FUND CODE,FUND DESCRIPTION,DEPARTMENT NUMBER,DEPARTMENT,DEPARTMENT DESCRIPTION,APPROPRIATION AUTHORITY,APPROPRIATION AUTHORITY DESCRIPTION,APPROPRIATION ACCOUNT,APPROPRIATION ACCOUNT DESCRIPTION,AMOUNT
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,197,TELEPHONE-MAINTENANCE,$1400.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,229,TRAN/EXP ALLOWANCE,$200.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,245,REIMBURSEMENT TRAVELERS,$900.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,270,LOCAL TRANSPORTATION,$2400.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,348,BOOKS AND RELATED MTL,$500.00
LOCAL,100,CORPORATE FUND,78,BOE,BOARD OF ETHICS,2005,2005 - BOARD OF ETHICS,350,STATIONERY AND OFFICE SUPPL,$3696.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,5,SALARIES AND WAGES - ON PAYROLL,$13007497.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,12,CONTRACT WAGE-PR,$3971.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,15,SCHEDULE SALARY ADJ,$64083.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,20,OVERTIME,$24700.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-679120.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,39,STUDENT AS TRAINEES,$31675.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,50,STIPENDS,$80000.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,124,INVESTIGATION COSTS,$115632.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,130,POSTAGE,$80018.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,138,PROF SERV-IT MAINT,$294490.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,140,PROF & TECHNICAL SERVICES,$344280.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,143,COURT REPORTING,$69329.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,148,TESTING AND INSPECTING,$35232.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,150,PUBLICATN & REPRODT-OUT,$18280.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,152,ADVERTISING,$99648.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,153,PROMOTIONS,$3760.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,154,RENTAL-DATA HARDWARE EQ,$2668.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,157,RENTAL EQUIPMENT AND SERVICES,$58552.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,159,LEASE PURCHASE AGREEMNT,$6804.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,162,REPAIR/MAINT EQUIPMENT,$32288.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,166,DUES  SUBSC & MEM,$5229.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,169,TECHNICAL MEETING COSTS,$4576.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,179,MESSENGER SERVICES,$14716.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,181,MOBILE COMM SERVICES,$101000.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,189,TELEPHONE NON-CENTREX,$1400.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,190,TELEPHONE-CENTREX,$78000.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,196,DATA CIRCUITS,$44100.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,197,TELEPHONE-MAINTENANCE,$91000.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,229,TRAN/EXP ALLOWANCE,$53016.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,245,REIMBURSEMENT TRAVELERS,$2092.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,270,LOCAL TRANSPORTATION,$35616.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,338,LICENSE STICKER TAG AND PLATES,$76608.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,340,MATERIAL AND SUPPLIES,$22385.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,348,BOOKS AND RELATED MTL,$1972.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,350,STATIONERY AND OFFICE SUPPL,$67448.00
LOCAL,100,CORPORATE FUND,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2005,2005 - BUS AFFAIRS AND CONSUMER PROT,360,REPAIR PARTS AND MATERIAL,$3083.00
GRANTS,600,TOBACCO ENFORCEMENT,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2801,2801 - TOBACCO ENFORCEMENT GRANT,5,SALARIES AND WAGES - ON PAYROLL,$403097.00
GRANTS,600,TOBACCO ENFORCEMENT,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2801,2801 - TOBACCO ENFORCEMENT GRANT,15,SCHEDULE SALARY ADJ,$2099.00
GRANTS,600,TOBACCO ENFORCEMENT,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2801,2801 - TOBACCO ENFORCEMENT GRANT,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-4785.00
GRANTS,600,TOBACCO ENFORCEMENT,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2801,2801 - TOBACCO ENFORCEMENT GRANT,44,FRINGE BENEFITS,$147461.00
GRANTS,600,TOBACCO ENFORCEMENT,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2801,2801 - TOBACCO ENFORCEMENT GRANT,130,POSTAGE,$2489.00
GRANTS,600,TOBACCO ENFORCEMENT,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2801,2801 - TOBACCO ENFORCEMENT GRANT,140,PROF & TECHNICAL SERVICES,$43639.00
GRANTS,808,CABLE LOCAL ORIGINATION,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2815,2815 - CABLE LOCAL ORIGINATION,5,SALARIES AND WAGES - ON PAYROLL,$284509.00
GRANTS,808,CABLE LOCAL ORIGINATION,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2815,2815 - CABLE LOCAL ORIGINATION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-22239.00
GRANTS,808,CABLE LOCAL ORIGINATION,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2815,2815 - CABLE LOCAL ORIGINATION,44,FRINGE BENEFITS,$104077.00
GRANTS,808,CABLE LOCAL ORIGINATION,70,BACP,BUS AFFAIRS AND CONSUMER PROT,2815,2815 - CABLE LOCAL ORIGINATION,140,PROF & TECHNICAL SERVICES,$47653.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,5,SALARIES AND WAGES - ON PAYROLL,$2736985.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,15,SCHEDULE SALARY ADJ,$8828.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-154316.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,130,POSTAGE,$2639.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,140,PROF & TECHNICAL SERVICES,$404939.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,150,PUBLICATN & REPRODT-OUT,$964.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,157,RENTAL EQUIPMENT AND SERVICES,$65629.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,160,REPAIR/MAINT PROPERTY,$6000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,162,REPAIR/MAINT EQUIPMENT,$13665.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,166,DUES  SUBSC & MEM,$9489.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,169,TECHNICAL MEETING COSTS,$2558.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,178,FREIGHT/EXPENSE CHARGES,$500.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,181,MOBILE COMM SERVICES,$24035.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,190,TELEPHONE-CENTREX,$22000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,191,TELEPHONE-RELOCATIONS,$1400.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,196,DATA CIRCUITS,$717.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,197,TELEPHONE-MAINTENANCE,$10400.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,245,REIMBURSEMENT TRAVELERS,$3201.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,270,LOCAL TRANSPORTATION,$11204.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,340,MATERIAL AND SUPPLIES,$3516.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,350,STATIONERY AND OFFICE SUPPL,$5718.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2105,2105 - COMMISSIONER'S OFFICE,931,TORT/NON-TORT JUDGMENT,$1890000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,5,SALARIES AND WAGES - ON PAYROLL,$4493050.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,12,CONTRACT WAGE-PR,$1447.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,15,SCHEDULE SALARY ADJ,$24409.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,30,LESS SALARY SAVINGS FROM UNPAID TIME OFF,$-241013.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,39,STUDENT AS TRAINEES,$18750.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,130,POSTAGE,$5610.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,140,PROF & TECHNICAL SERVICES,$222370.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,149,SOFTWARE MAINT/LICENSING,$10940.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,150,PUBLICATN & REPRODT-OUT,$1760.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,152,ADVERTISING,$1359.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,154,RENTAL-DATA HARDWARE EQ,$1820.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,157,RENTAL EQUIPMENT AND SERVICES,$15796.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,160,REPAIR/MAINT PROPERTY,$9000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,162,REPAIR/MAINT EQUIPMENT,$97652.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,169,TECHNICAL MEETING COSTS,$4574.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,171,MISC SUPPLIES,$500.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,178,FREIGHT/EXPENSE CHARGES,$600.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,181,MOBILE COMM SERVICES,$20580.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,190,TELEPHONE-CENTREX,$35000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,191,TELEPHONE-RELOCATIONS,$1000.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,197,TELEPHONE-MAINTENANCE,$15100.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,245,REIMBURSEMENT TRAVELERS,$1464.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,270,LOCAL TRANSPORTATION,$611.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,340,MATERIAL AND SUPPLIES,$30598.00
LOCAL,100,CORPORATE FUND,84,CHICAGO DEPT OF TRANSPORTATION,CHICAGO DEPT OF TRANSPORTATION,2115,2115 - ADMINISTRATION,348,BOOKS AND RELATED MTL,$4885.00
